9,431923129499036,\N,3,525,2023-04-01
27,431923230790091,\N,607,203,2023-12-12
25,431923460519699,\N,672,388,2023-11-10
10,431923756726156,5178,926,389,2022-03-31
2,4319231060922365,\N,660,523,2023-10-04
37,4319231290620128,\N,480,659,2024-01-08
94,4319231338519746,9601,134,510,2023-10-03
99,4319231412912379,\N,441,842,2024-03-22
80,4319231436034069,\N,864,688,2023-01-20
51,4319231730084596,9016,552,535,2022-10-12
44,4319232187867475,\N,74,821,2022-05-15
73,4319232692911297,\N,351,753,2022-06-09
4,4319232729116365,\N,850,972,2022-05-22
72,4319232752423829,1484,520,792,2024-05-01
45,4319232894632071,1267,608,301,2022-01-14
35,4319233356977111,564,645,554,2023-04-08
8,4319233513891098,\N,379,858,2024-05-19
63,4319233576394220,2409,552,239,2023-12-04
97,4319233652344255,\N,254,323,2022-10-23
26,4319233719742475,9019,23,354,2022-02-19
90,4319234105541919,\N,336,188,2023-02-20
15,4319234495251137,6688,542,391,2023-10-22
59,4319234509730183,\N,192,318,2022-08-12
21,4319234574726322,1982,448,890,2022-02-04
70,4319234613708745,6662,525,89,2023-03-05
40,4319234815567329,\N,100,861,2023-06-18
30,4319234901896186,\N,719,566,2022-05-24
95,4319235166709725,\N,910,894,2023-08-10
71,4319235272348921,6726,56,10,2023-02-08
66,4319235502079890,\N,745,419,2021-10-16
46,4319235640236253,\N,296,56,2022-02-17
42,4319235805846524,\N,344,116,2022-12-09
33,4319235878582824,7779,231,436,2024-03-20
3,4319235913541645,\N,489,126,2022-12-19
76,4319235925267601,3258,15,579,2022-07-22
43,4319236376768337,5883,632,185,2023-06-01
67,4319236390337945,3465,271,372,2024-01-13
29,4319236443118813,\N,998,528,2023-12-12
53,4319236500068745,8097,389,972,2024-02-15
11,4319236772313019,\N,422,469,2022-10-13
49,4319236802365302,5112,768,688,2022-01-24
61,4319236821918248,4480,899,2,2024-03-01
69,4319236830786867,3079,349,968,2023-01-18
98,4319236904473640,1352,385,641,2022-08-31
22,4319237109543872,\N,703,282,2023-11-14
88,4319237146070871,9346,316,808,2022-05-01
57,4319237263191989,924,269,768,2022-04-17
28,4319237385271750,\N,107,379,2024-01-30
62,4319237455815999,\N,888,953,2023-06-09
18,4319237500307000,3373,528,976,2022-11-12
36,4319237670548466,\N,488,207,2022-07-23
100,4319237686181351,2180,195,863,2023-04-13
78,4319237984759288,6075,657,558,2024-06-14
20,4319238054756287,\N,469,714,2023-06-27
48,4319238217790900,5675,142,626,2023-08-17
91,4319238425590092,4018,707,427,2023-04-23
96,4319238433558925,3709,255,491,2023-02-11
87,4319238725594448,7135,792,728,2021-12-17
19,4319238966631099,6157,490,77,2022-06-07
1,4319239122559372,\N,344,90,2022-10-28
84,4319239136322221,1307,349,122,2022-03-27
13,4319239339182380,\N,646,38,2023-03-11
60,4319239398371072,\N,678,630,2022-12-03
92,4319239403608237,\N,695,309,2023-04-26
85,4319239403803861,7360,54,411,2023-03-26
16,4319239461000012,\N,828,597,2021-11-23
86,4319239560326193,\N,364,222,2022-11-26
24,4319239660524028,\N,386,277,2022-08-15
65,4319239787759036,\N,398,499,2023-02-03
32,4319239841094008,3911,806,397,2022-12-21
